ID	Command (Tiếng Việt)	Command (Tiếng Anh)	Command (Tiếng Pháp)	Command (German)	Ghi chú 
	Đặt làm mát ghế sau bên phải mức cao nhất cho xe	Set rear right seat cooler maximum please 	Réglez le refroidisseur du siège arrière à droite au niveau élevé s'il vous plaît	Stell Kühler des rechten Rücksitzes auf maximale Stufe 	
	làm mát ghế sau bên phải mức 3 đi	Can you set rear right seat cooler to 3 please 	Je veux régler le refroidisseur du siège arrière à droite au niveau moyen	Stell Kühler des rechten Rücksitzes auf Stufe 3	
	chỉnh làm mát cho ghế khách phải về mức 1	Turn rear right seat cooler to 1	Pouvez-vous régler la ventilation du siège arrière à droite au niveau élevé 	Stell Kühler des rechten Rücksitzes auf Stufe 1	
	chỉnh làm mát cho ghế khách phải về mức trung bình	Change the rear right seat cooler to medium	Changez la ventilation du siège arrière à droite au niveau moyen		
	chỉnh làm mát cho ghế khách phải về mức cao nhất	Adjust the rear right seat cooler to highest 	Réglez la ventilation du siège arrière à droite au niveau élevé		
	làm mát ghế đằng sau bên phải mức lớn nhất	Set rear right seat cooler to maximum 	Réglez le refroidisseur du siège arrière à droite au niveau 1		
	ghế phải đằng sau làm mát nhỏ nhất	I want to set rear right seat cooler to low	Réglez le refroidisseur du siège arrière à droite au niveau 2		
	làm mát mức 1 cho ghế khách phải	Turn rear right seat cooler to 3 	Réglez le refroidisseur du siège arrière à droite au niveau 3		
	ghế khách bên phải đặt mức làm mát số 3				
60	Bật sưởi tay lái | sưởi tay lái | lạnh tay lái quá | tay lái lạnh quá	Turn on steering wheel heater | heated steering wheel on	Allumer le chauffage du volant / Activer le chauffage du volant	Schalte Lenkradheizung ein/ Aktivier Lenkradheizung	
	Bật sưởi tay lái	Turn on steering wheel heater 	Allumez le chauffage du volant	Schalte Lenkradheizung ein	
	sưởi tay lái	Please turn on steering wheel heater 	Veuillez allumer le chauffage du volant	Aktivier Lenkradheizung	
	tay lái lạnh quá	oh my god, the steering wheel is super cold 	Réchauffez le volant maintenant	Hilf mir beim Einschalten der Lenkradheizung	
	lạnh tay lái quá	Heat the steering wheel please 	Chauffez le volant s'il vous plaît	Mach den Lenkradheizung an	
	vô lăng lạnh quá	Can you please turn on steering wheal heater?	Pouvez-vous allumer le chauffage du volant s'il vous plaît ?	Ich brauche die Lenkradheizung	
	lạnh vô lăng quá	I want to turn on the steering wheel heater 	Je veux allumer le chauffage du volant	Lenkradheizung an bitte	
	sưởi vô lăng đi	Warm the steering wheel now 	Activez le chauffage du volant	Kannst du die Lenkradheizung einschalten	
	sưởi vô lăng		Active le chauffage du volant		
	sưởi vô lăng cho đỡ lạnh				
	sưởi tay lái cho đỡ lạnh nào				
61	Tắt sưởi tay lái	Turn off steering wheel heater | heated steering wheel off	Éteindre le chauffage du volant/ Désactiver le chauffage du volant	Schalte Fahrersitzheizung aus/ Deaktivier Fahrersitzheizung 	
	ngưng sưởi tay lái	Turn off steering wheel heater 	Éteignez le chauffage du volant	Schalte Lenkradheizung aus	
	không sưởi tay lái nữa	Please turn off steering wheel heater 	Veuillez éteindre le chauffage du volant	Deaktivier Lenkradheizung	
	không cần sưởi tay lái nữa đâu nhé	Stop the steering wheel heater	Arrêtez le chauffage du volant	Hilf mir beim Ausschalten der Lenkradheizung	
	bỏ đi không cần sưởi tay lái cho tôi đâu	I don't need the steering wheel heater anymore 	Je n'ai plus besoin du chauffage du volant	Mach den Lenkradheizung aus	
	dừng sưởi tay lái	Can you please turn off steering wheal heater?	Pouvez-vous éteindre le chauffage du volant s'il vous plaît ?	Ich brauche die Lenkradheizung nicht mehr	
	vô lăng xe không cần sưởi nữa	I want to turn off the steering wheel heater 	Je veux éteindre le chauffage du volant	Lenkradheizung aus bitte	
	ngừng mở sưởi tay lái đi	Off the steering wheel heater 	Arrête le chauffage du volant tout de suite	Kannst du die Lenkradheizung ausschalten	
	tay lái không cần sưởi nữa		Je n'ai plus besoin du chauffage du volant		
	ngưng sưởi vô lăng		Pouvez-vous éteindre le chauffage du volant s'il vous plaît ?		
	không cần sưởi vô lăng nữa		Je veux éteindre le chauffage du volant		
62	Nóng quá | làm mát hơn | tôi nóng quá | làm mát xe | Giảm điều hòa 	Make it cooler | I am hot | I'm hot | Decrease temperature 	Trop chaud/ J'ai chaud/ Moins chaud/ Baisser la température	Mir ist zu warm/ Senk die Temperatur	
	nóng quá	Make it cooler  	Il fait chaud.	Mir ist zu warm	
	hôm nay trời nóng quá	It is hot today 	J'ai chaud	Heute ist es zu warm 	
	giảm điều hòa	I am hot 	Refroidissez la voiture	Mach das Auto kühler	
	giảm bớt điều hòa đi	Cool down the car 	Trop chaud ici		
	làm mát xe	Why is it still super hot?	Diminuez la température		
	xe gì nóng như lửa ý	Decrease the temperature 	Baissez la température		
	hạ điều hòa xuống đi	Turn down the temperature 	Diminue la température	 Senk die Temperatur bitte	
	làm mát xe cho tôi luôn đi	Can you make the car cooler please	Baisse la température		
	nóng vãi cả hường	It is fucking hot in here 	Peux-tu diminuer la température?		
	sao vẫn chưa mát nhỉ	Oh my god, I am burning up. 	Je veux diminuer la température		
63	Lạnh quá | rét quá | làm ấm hơn | tôi lạnh quá | làm ấm xe | làm nóng xe	Make it warmer | I am cold | I'm cold | Increase temperature 	Trop froid/ J'ai froid/ Il fait un froid de canard/ Réchauffer la voiture	Mir ist zu kalt/ Erhöhe die Temperatur	
	lạnh quá	I am (super) cold 	J'ai (super) froid	Mir ist zu kalt	
	rét quá	Make it warmer  	J'ai froid, augmente la température s'il te plait	Es ist zu kalt	
	tôi lạnh quá	Increase the temperature 	Augmentez la température		
	làm ấm hơn đi	Turn up the temperature 	Augmente la température	Erhöhe die Temperatur	
	làm ấm xe đi	Why is it so cold in here?	Pouvez-vous rendre la voiture plus chaude s'il vous plaît	Mach das Auto wärmer	
	làm nóng xe	I'm cold, increase the temperature please 	Réchauffe ma voiture s'il te plait		
	tăng điều hòa	Can you make the car warmer please 	Réchauffez ma voiture s'il vous plait		
	điều hòa cao thêm ít nữa	Warm my car please 	Peux-tu rendre la voiture plus chaude s'il te plaît?		
	tăng điều hòa thêm chút		Peux-tu réchauffer ma voiture s'il te plait?		
	lạnh quá trời tăng điều hòa đi		Augmente la température pour moi		
64	Bật điều hoà và quạt thông gió | Bật điều hoà không khí | Bật hệ thống điều hoà không khí	Turn on HVAC | Climate control on | HVAC on	Allumer la climatisation et la ventilation/ Activer HVAC / Allumer le contrôle de l'air conditionné 	Schalte HLK ein/ Aktivier HLK 	
	bật hvac	Turn on HVAC 	Allumez la climatisation et la ventilation	Schalte HLK ein	
	bật hvac lên cho tôi	Turn on "H" "VAC" 	Activez HVAC	Aktivier HLK 	
	mở hvac	Climate control on 	Allume HVAC	Hilf mir beim Einschalten HLK	
	mở hvac lên	I want to turn on HVAC 	Active HVAC	Mach HLK an	
	tôi muốn bật hvac lên lúc này	Can you turn on HVAC please 	Activez HVAC	Ich brauche sofort HLK	
	bật hệ thống điều hòa không khí	HVAC on right now 	Allume HVAC	Ich möchte HLK einschalten	
	mở hệ thống điều hòa khí hậu lên cho anh	I need HVAC now 	Je veux activer le contrôle de l'air conditionné		
	mở hvac ra	HVAC on  	Peux-tu allumer HVAC, s'il te plait?		
	mở hệ thống điều khiển khí hậu cho tôi		Pouvez-vous activer le contrôle de l'air conditionné?		
	bật điều khiển điều hòa và quạt thông gió ra đi		Activez HVAC tout de suite		
65	Tắt điều hoà, quạt, thông gió | Tắt điều hoà không khí | Tắt hệ thống điều hoà không khí	Turn off HVAC | Climate control Off | HVAC off	Éteindre la climatisation et la ventilation/ Désactiver HVAC / Éteindre le contrôle de l'air conditionné 	Schalte HLK aus/ Deaktivier HLK 	
	tắt hvac	Turn off HAVC 	Éteignez HVAC 	Schalte HLK aus	
	ngưng hvac	Turn off "H" "VAC" 	Éteignez la recirculation d'air et la ventilation 	Deaktivier HLK 	
	dừng mở hvac	Climate control off	Désactivez HVAC 	Hilf mir beim Ausschalten HLK	
	khỏi cần chạy hvac nữa đâu	I want to turn off HVAC 	Éteins HVAC 	Mach HLK aus	
	đóng hvac vào đi	Can you turn off HVAC please 	Annulez HVAC 	Ich brauche HLK nicht mehr	
	tắt hvac hộ tôi	HVAC off right now 	Éteins HVAC 	Ich möchte HLK ausschalten	
	dẹp hvac đi không cần nữa	I don't need HVAC now 	Éteins la recirculation d'air et la ventilation 		
	ngừng hệ thống điều hòa không khí	OFF HVAC now	Désactive HVAC 		
	dừng hệ thống điều hòa không khí lại đi		Je veux éteindre la clim et la recirculation d'air		
	đóng hệ thống điều khiển khí hậu vào		Annule le contrôle de l'air conditionné 		
66	Hiển thị sưởi ghế| Hiển thị màn hình sưởi ghế | Hiển thị độ ấm ghế ngồi	Show seat heater screen  / seat heater screen on/ seat heater screen 	Afficher le système de chauffage/ Afficher la température des sièges chauffants	Öffne den Bildschirm für Sitzheizungseinstellung	
	Hiển thị sưởi ghế	Show seat heater screen  	Affichez l'écran du siège chauffant	Öffne den Bildschirm für Sitzheizungseinstellung	
	Hiển thị độ ấm ghế ngồi	Can you show seat heater screen please?	Affiche l'écran du siège chauffant	Stell die Sitzheizungen ein	
	Hiển thị màn hình sưởi ghế	I want to see the seat heater screen 	Je veux voir l'écran du siège chauffant	Zeig mir den Bildschirm für Sitzheizungseinstellung	
	hiện sưởi ghế	Show seat heater screen  right now 	Veuillez afficher l'écran du chauffage du siège	Ich möchte den Bildschirm für Sitzheizungseinstellung sehen	
	hiện màn hình sưởi	Please show seat heater screen 	Montre-moi la chaleur des sièges à l'écran	Schalte den Bilschirm für Sitzheizungseinstellung ein	
	hiện màn hình sưởi lên xem	I want to see how warm the seats are 	Pouvez-vous montrer l'écran du siège chauffant s'il vous plaît?	Ich möchte die Sitzheizungen einstellen	
	xem màn hình sưởi	Show me the warmth of seats on screen 	Montre-moi l'écran du siège chauffant	Ich brauche den Bildschirm für Sitzheizungseinstellung	
	đang muốn xem màn hình sưởi ghế	Why the seat heater are not shown on screen now?	Affiche l'écran du chauffage du siège pour moi	Aktivier Sitzheizungseinstellung	
	hiện độ ấm ghế đi		Je veux voir la température des sièges à l'écran		
	hiện màn hình sưởi ghế lên cho anh		Peux-tu montrer l'écran du siège chauffant s'il te plaît?		
67	Đóng màn hình sưởi ghế	Close seat heater screen / seat heater screen off	Fermer l'écran d'affichage pour les sièges chauffants	Schließe Sitzheizungseinstellung	
	đóng màn hình sưởi	Close seat heater screen please 	Fermez l'écran du siège chauffant s'il vous plaît	Schließe Sitzheizungseinstellung	
	đóng màn hình sưởi ghế	I want to close seat heater screen 	Ferme l'écran du siège chauffant 	Hör auf, Sitzheizungen einzustellen	
	đóng màn hình sưởi ấm ghế ngồi	Stop the seat heater screen 	Je veux fermer l'écran du siège chauffant	Schalte den Bildschirm für Sitzheizungseinstellung aus	
	ẩn màn hình sưởi đi	Hide the seat heater screen 	Arrêtez l'écran du siège chauffant	Ich brauche nicht mehr den Bildschirm für Sitzheizungseinstellung	
	đừng mở màn hình sưởi ghế nữa	I don't need the heat seater screen anymore 	Cachez l'écran du siège chauffant	Deaktivier Sitzheizungseinstellung	
	đóng màn hình sưởi vào cho tôi	Turn off the seat heater screen 	Éteignez l'écran du siège chauffant		
	không cần hiện màn hình sưởi lên nữa đâu	Can you close the seat heater screen please	Pouvez-vous fermer l'écran du siège chauffant s'il vous plaît		
	không cần xem màn hình sưởi nữa đâu		Arrête l'écran du siège chauffant		
	đóng vào đi không xem màn hình sưởi nữa		Peux-tu fermer l'écran du siège chauffant pour moi?		
	màn hình sưởi đóng vào cho tôi		Éteins l'écran du siège chauffant		
68	Hiển thị màn hình điều khiển điều hoà | Hiển thị màn hình HVAC	Show climate control screen | show HVAC screen | climate controls	Afficher le contrôle de la climatisation/ Afficher l'écran HVAC	Öffne den Bildschirm für HLK-Einstellung	
	Hiển thị màn hình điều khiển điều hòa	Show the climate control screen please 	Montrez l'écran de la climatisation	Öffne den Bildschirm für HLK-Einstellung	
	Hiển thị màn hình HVAC	I want to see the screen of the climate control 	Je veux voir l'écran de la climatisation	Stell HLK ein	
	hiện màn hình điều khiển điều hòa lên	Can you show me the climate control screen please 	Pouvez-vous me montrer l'écran de la climatisation s'il vous plaît	Zeig mir den Bildschirm für HLK-Einstellung	
	hiện màn hình hvac đi	Show me the climate control screen 	Montre-moi l'écran de la climatisation	Ich möchte den Bildschirm für HLK-Einstellung sehen	
	mở màn hình hvac	Turn on the climate control screen please 	Allumez l'écran de la climatisation	Schalte den Bilschirm für HLK-Einstellung ein	
	mở màn hình điều khiển điều hòa	Show me HVAC screen 	Montrez-moi l'écran d'affichage de la clim	Ich möchte HLK einstellen	
	mở giúp tôi màn hình điều khiển khí hậu nhé	Turn on HVAC screen please 	Allumez l'écran de HVAC s'il vous plaît	Ich brauche den Bildschirm für HLK-Einstellung	
